Delhi,28.66,77.23
Mumbai,18.9667,72.8333
Kolkāta,22.5411,88.3378
Bangalore,12.9699,77.598
Chennai,13.0825,80.275
Hyderābād,17.3667,78.4667
Pune,18.5196,73.8553
Ahmadābād,23.03,72.58
Sūrat,21.17,72.83
Lucknow,26.847,80.947
Jaipur,26.9167,75.8667
Cawnpore,26.4725,80.3311
Mirzāpur,25.15,82.58
Nāgpur,21.1539,79.0831
Ghāziābād,28.6667,77.4167
Indore,22.7206,75.8472
Vadodara,22.3,73.2
Visakhapatnam,17.7333,83.3167
Bhopāl,23.25,77.4167
Chinchvad,18.6278,73.8131
Patna,25.61,85.1414
Ludhiāna,30.9083,75.8486
Āgra,27.18,78.02
Kalyān,19.2502,73.1602
Madurai,9.9197,78.1194
Jamshedpur,22.8,86.1833
Nashik,20,73.7833
Farīdābād,28.4333,77.3167
Aurangābād,19.88,75.32
Rājkot,22.2969,70.7984
Meerut,28.99,77.7
Jabalpur,23.1667,79.9333
Thāne,19.18,72.9633
Dhanbād,23.7928,86.435
Allahābād,25.455,81.84
Vārānasi,25.3189,83.0128
Srīnagar,34.0911,74.8061
Amritsar,31.6167,74.85
Alīgarh,27.88,78.08
Bhiwandi,19.3,73.0667
Gwalior,26.215,78.1931
Bhilai,21.2167,81.4333
Hāora,22.59,88.31
Rānchi,23.3556,85.3347
Bezwāda,16.5167,80.6167
Chandīgarh,30.7353,76.7911
Mysore,12.3086,76.6531
Raipur,21.2379,81.6337
Kota,25.18,75.83
Bareilly,28.364,79.415
Jodhpur,26.2918,73.0168
Coimbatore,11,76.9667
Dispur,26.15,91.77
Guwāhāti,26.1667,91.7667
Solāpur,17.6833,75.9167
Trichinopoly,10.8269,78.6928
Hubli,15.36,75.125
Jalandhar,31.3256,75.5792
Bhubaneshwar,20.2644,85.8281
Bhayandar,19.3,72.85
Morādābād,28.8418,78.7568
Kolhāpur,16.7,74.2333
Thiruvananthapuram,8.5,76.8997
Sahāranpur,29.964,77.546
Warangal,17.9756,79.6011
Salem,11.65,78.1667
Mālegaon,20.55,74.55
Kochi,9.9667,76.2833
Gorakhpur,26.7611,83.3667
Shimoga,13.9304,75.56
Tiruppūr,11.1075,77.3398
Guntūr,16.3,80.45
Raurkela,22.2492,84.8828
Mangalore,12.8703,74.8806
Nānded,19.15,77.3333
Cuttack,20.45,85.8667
Chānda,19.95,79.3
Dehra Dūn,30.318,78.029
Durgāpur,23.55,87.32
Āsansol,23.6833,86.9667
Bhāvnagar,21.765,72.1369
Amrāvati,20.9333,77.75
Nellore,14.4333,79.9667
Ajmer,26.468,74.639
Tinnevelly,8.7289,77.7081
Bīkaner,28.0181,73.3169
Agartala,23.8333,91.2667
Ujjain,23.1828,75.7772
Jhānsi,25.4486,78.5696
Ulhāsnagar,19.2167,73.15
Davangere,14.4667,75.9167
Jammu,32.7333,74.85
Belgaum,15.8667,74.5
Gulbarga,17.3333,76.8333
Jāmnagar,22.47,70.07
Dhūlia,20.9,74.7833
Gaya,24.75,85.0167
